PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,DistFromSunParsec,SurfaceTempK
Kepler-8 b,0.59,1.42,1330,1519.5
HAT-P-56 b,2.18,1.466,310.5,1840
Kepler-266 b,,0.226,1577.36,
Kepler-266 c,,0.3545,1577.36,
Kepler-920 b,,0.216,,
Kepler-920 c,,0.339,,
Kepler-890 b,,0.793,,
HD 12661 b,2.3,,37.16,291.4
HD 12661 c,1.57,,37.16,167.5
Kepler-213 b,,0.14763,702.35,
Kepler-213 c,,0.21324,702.35,
HD 128311 b,1.83,,16.6,177.7
HD 128311 c,3.2,,16.6,140.7
WASP-49 b,0.378,1.115,170,1369
Kepler-44 b,1,1.09,2250,
HD 72892 b,5.45,,72.78,
Kepler-1043 b,,0.227,,
Kepler-1306 b,,0.17,,
Kepler-821 b,,0.117,,
WASP-138 b,1.22,,308,
Kepler-242 b,,0.23785,859.95,
Kepler-242 c,,0.18226,859.95,
Kepler-518 b,,0.188,,
Kepler-1069 b,,0.143,,
Kepler-1475 b,,0.261,,
Kepler-706 b,,1.175,,
Kepler-170 b,,0.29162,849.82,
Kepler-170 c,,0.26063,849.82,
Kepler-1065 b,,0.333,,
Kepler-1065 c,,0.143,,
CVSO 30 b,6.2,1.91,330,
CVSO 30 c,4.7,1.63,330,1600
HD 175167 b,7.8,,67.02,154
Kepler-725 b,,0.948,,
Kepler-1394 b,,0.124,,
Kepler-795 b,,0.15,,
Kepler-94 b,0.034099,0.319867,223,
Kepler-94 c,9.83346,,223,
TYC 3667-1280-1 b,5.4,,481,
Kepler-1329 b,,0.194,,
HD 202206 b,17.4,,46.34,277.6
HD 202206 c,2.44,,46.34,159.6
Kepler-918 b,,0.155,,
Kepler-1326 b,,0.373,,
Kepler-924 b,,0.274,,
Kepler-1255 b,,0.207,,
EPIC 211990866 b,,0.31,,
EPIC 201828749 b,,0.353,146,613
HD 131664 b,85.2,,55.43,
Kepler-728 b,,0.298,,
wasp-92 b,0.805,1.461,530,
OGLE-2015-BLG-0954L b,4.4,,600,
Kepler-968 b,,0.178,,
Kepler-968 c,,0.151,,
Kepler-1085 b,,0.644,,
Kepler-709 b,,0.261,,
Kepler-1639 b,,0.23,,
Kepler-1256 b,,0.133,,
Kepler-977 b,,0.234,,
Kepler-951 b,,0.499,,
CoRoT-21 b,2.26,1.3,,1867
KIC 6185331 b,,0.72,,
Kepler-395 c,,0.12029,537.21,
Kepler-395 b,,0.09386,537.21,
HD 9174 b,1.11,,78.93,
Kepler-805 b,,0.258,,
EPIC 201855371 b,,0.205,134,487
HD 66428 b,3.194,,54.9,
Kepler-626 b,,0.204,,
WASP-33 b,4.59,1.438,116,2451.5
Kepler-1037 b,,0.114,,
Gliese 3293 b,0.076,,18.2,
Gliese 3293 d,0.07,,18.2,
Gliese 3293 c,0.027,,18.2,
Kepler-568 b,,0.202,,
Kepler-91 b,0.66,1.4,1030,
Kepler-1346 b,,0.141,,
HD 27631 b,1.45,,45.5,137.7
CHXR 73 b,12,,,
EPIC 201403446 b,,0.188,362,889
Kepler-277 b,0.27619,0.2661,951.43,
Kepler-277 c,0.20856,0.3062,951.43,
Kepler-1273 b,,0.222,,
KMT-2015-1 b,2.2,,8200,
Kepler-58 b,,0.25699,1302.83,
Kepler-58 c,,0.24241,1302.83,
Kepler-58 d,,0.26792,1302.83,
Kepler-1166 b,,0.151,,
OGLE-2012-BLG-0950L b,0.11,,3000,
Kepler-245 b,,0.2342,919.92,
Kepler-245 d,,0.27612,919.92,
Kepler-245 c,,0.19866,919.92,
Kepler-245 e,,0.156,919.92,
Kepler-1073 b,,0.205,,
Kepler-1073 c,,0.146,,
Kepler-559 b,,0.322,,
Kepler-782 b,,0.286,,
Kepler-1629 b,,0.069,,
Kepler-1016 b,,0.194,,
Kepler-1016 c,,0.328,,
NY Virginis (AB) b,2.3,,613.18,
HD 219077 b,10.39,,29,124.9
HW Vir (AB) b,14.3,,181,
WASP-13 b,0.5,1.407,155,1203.3
HD 215152 b,0.0087,,21.5,704.7
HD 215152 c,0.0097,,21.5,615.3
18 Del b,10.3,,75.3,
Kepler-210 c,,0.436,265.15,
Kepler-210 b,,0.3419,265.15,
HD 210702 b,1.9,,54.9,
Kepler-1110 b,,0.237,,
HD 165155 b,2.89,,64.98,
HD 210277 b,1.23,,21.29,240.3
WASP-135 b,1.9,1.3,300,
HIP 67537 b,11.1,,112.6,
Kepler-532 b,,0.229,,
Kepler-1390 b,,0.105,,
Gliese 15 A b,0.01683,,3.587,
HD 330075 b,0.62,,50.2,1023.2
Kepler-891 b,,0.572,,
Kepler-1402 b,,0.068,,
Kepler-1182 b,,0.215,,
HAT-P-55 b,0.582,1.182,480,1313
Kepler-45 b,0.505,0.96,333,774
Kepler-1490 b,,0.271,,
WASP-121 b,1.183,1.807,270,2358
Kepler-25 b,,0.2411,191,1220.6
Kepler-25 c,,0.4598,191,959.7
Kepler-25 d,0.282798,,191,
WASP-70 A b,0.59,1.164,245,1387
HD 102956 b,0.96,,126,1642.2
WTS-1 b,4.01,1.49,3200,1362.3
BD+49 828 b,1.6,,,
HD 66141 b,6,,80.9,801.4
CoRoT-2 b,3.31,1.465,300,1392.7
HD 176051 b,1.5,,14.99,
Kepler-894 b,,0.248,,
Kepler-295 b,,0.11118,737.84,
Kepler-295 c,,0.10662,737.84,
Kepler-295 d,,0.12394,737.84,
XO-5 b,1.077,1.03,255,1133.5
EPIC 201367065 b,0.0264,0.194,45,
EPIC 201367065 c,,0.165,45,
EPIC 201367065 d,,0.135,45,
Kepler-1093 b,,0.174,,
Kepler-1093 c,,0.175,,
Kepler-1632 b,,0.22,,
Kepler-1407 b,,0.201,,
2MASS 0122-2439 B,,,36,
Kepler-229 c,,0.44836,949.11,
Kepler-229 d,,0.35085,949.11,
Kepler-229 b,,0.20049,949.11,
HD 9446 b,0.7,,53,586.1
HD 9446 c,1.82,,53,315.8
Kepler-997 b,,0.121,,
HD 125612 b,3,,52.82,224.5
HD 125612 c,0.058,,52.82,1186
HD 125612 d,7.2,,52.82,129.4
Kepler-362 c,,0.13214,648.69,
Kepler-362 b,,0.08019,648.69,
Kepler-241 b,,0.21233,595.71,
Kepler-241 c,,0.2342,595.71,
Qatar-2 b,2.487,1.144,,1179.7
Kepler-1214 b,,0.211,,
Kepler-102 e,0.028091,0.202309,119.3,
Kepler-102 d,0.011954,0.107534,119.3,
Kepler-102 f,,0.080195,119.3,
Kepler-102 c,,0.052856,119.3,
Kepler-102 b,,0.042831,119.3,
HAT-P-37 b,1.169,1.178,411,1166.3
EPIC 218916923 b,0.381,0.812,152,
WASP-8 b,2.244,1.038,87,846.5
HR 810 b,2.26,,17.17,373.3
HAT-P-29 b,0.778,1.107,322,1149.1
HD 4732 b,2.37,,56.5,
HD 4732 c,2.37,,56.5,
WASP-140 b,2.44,1.44,180,
HD 1666 b,6.43,,110.6,
Kepler-677 b,,0.48,,
Kepler-1362 b,,0.232,,
Kepler-1609 b,,0.198,,
Kepler-434 b,2.86,1.13,1240,1000
Kepler-1534 b,,0.169,,
Kepler-1484 b,,0.188,,
Kepler-1584 b,,0.144,,
Kepler-203 b,,0.2342,800.07,
Kepler-203 c,,0.22509,800.07,
Kepler-203 d,,0.13123,800.07,
Kepler-847 b,,0.105,,
HAT-P-22 b,2.147,1.08,82,1171.7
HD 10442 b,2.1,,,
Kepler-1028 b,,0.119,,
Kepler-261 b,,0.19866,359.31,
Kepler-261 c,,0.18226,359.31,
HATS-10 b,0.526,0.969,496,1407
HD 68402 b,3.07,,78,
KIC 8012732 b,,0.87,,
KIC 8540376 b,,0.366,,
KIC 8540376 c,,0.214,,
Kepler-833 b,,0.18,,
HATS-5 b,0.237,0.912,257,1025
Kepler-38 (AB) b,,0.39641678,3500,
Kepler-52 c,,0.15583,356.41,
Kepler-52 b,,0.21324,356.41,
Kepler-52 d,,0.1777,356.41,
KOI-206 b,2.82,1.45,1870,1776
Kepler-753 b,,0.17,,
WASP-98 b,0.83,1.1,,1180
TrES-4 A b,0.494,1.838,485,1795
HN Peg b,22,1.05,18.4,1130
CFBDS 1458 b,6.5,,23.1,
MOA-2007-BLG-400-L b,0.9,,6000,104.6
HD 17156 b,3.191,1.095,78.24,790.5
HD 1461 b,0.0239,,23.4,1054.8
HD 1461 c,0.0186,,23.4,795.9
WASP-31 b,0.478,1.537,400,1410.6
BD-08 2823 b,0.045,,42.5,
BD-08 2823 c,0.33,,42.5,
Kepler-903 b,,0.179,,
Kepler-903 c,,0.226,,
WASP-23 b,0.884,0.962,,1024
Gliese 876 b,2.6697,,4.69,
Gliese 876 c,0.8429,,4.69,
Gliese 876 d,0.0217,,4.69,
Gliese 876 e,0.05399,,4.69,
Kepler-595 b,,0.34,,
Kepler-1319 b,,0.12,,
CoRoT-26 b,0.52,1.26,1670,
WASP-87 b,2.18,1.385,240,2322
Kepler-838 b,,0.244,,
Kepler-488 b,,1.409,,
HD 117618 b,0.178,,38,664.2
HD 117618.02,0.2,,38,
EPIC 201338508 c,,0.202,181,
EPIC 201338508 b,,0.17,181,
Kepler-591 b,,0.302,,
GJ 682 b,0.014,,5.079,
GJ 682 c,0.027,,5.079,
Kepler-682 b,,0.658,,
HD 154857 b,2.24,,64.2,336
HD 154857 c,2.58,,64.2,
HD 6718 b,1.56,,55.9,135.5
Kepler-1215 b,,0.109,,
Kepler-470 b,,1.288,,
HATS-31 b,0.88,1.64,872,
Kepler-54 b,,0.18864,499.51,
Kepler-54 c,,0.15948,499.51,
Kepler-54 d,,0.13943,499.51,
Kepler-880 b,,0.237,,
Mercury,0.00017387419,0.034901518,,
Venus,0.0025637401,0.08656491,,
Earth,0.0031457007,0.091130294,,
Mars,0.00033799525,0.048489079,,
Jupiter,1,1,,
Saturn,0.299,0.832944,,
Uranus,0.0457,0.362775,,
Neptune,0.053953,0.35221925,,
Pluto,7.76E-06,0.0164379,,
Kepler-370 c,,0.17406,1139.98,
Kepler-370 b,,0.1449,1139.98,
VHS 1256-1257 b,11.2,,12.7,880
WASP-35 b,0.72,1.32,,1450
HR 8799 b,5,0.7,39.4,1100
HR 8799 c,7,1,39.4,1200
HR 8799 d,7,1.1,39.4,1200
HR 8799 e,7,1,39.4,1200
Kapteyn b,0.015099,,3.91,
Kapteyn c,0.02202,,3.91,
Kepler-519 b,,0.187,,
Kepler-714 b,,0.863,,
Kepler-790 b,,0.194,,
MOA-2008-BLG-379L b,4.1,,3300,
Kepler-1502 b,,0.284,,
Kepler-500 b,,0.23,,
Kepler-1048 b,,0.144,,
Kepler-1545 b,,0.241,,
Kepler-484 b,,0.203,,
Kepler-149 b,,0.38366,588.12,
Kepler-149 d,,0.36088,588.12,
Kepler-149 c,,0.14672,588.12,
Kepler-546 b,,0.624,,
Kepler-1027 b,,0.079,,
Kepler-1174 b,,0.142,,
Kepler-188 c,,0.29071,1201.9,
Kepler-188 b,,0.1531,1201.9,
HAT-P-36 b,1.832,1.264,317,1669.2
HIP 65891 b,6,,136,
Kepler-1050 b,,0.143,,
Kepler-1050 c,,0.132,,
Kepler-1114 b,,0.12,,
Kepler-1482 b,,0.09,,
Kepler-15 b,0.66,0.96,,1027.9
HD 63454 b,0.38,,35.8,926.7
Kepler-697 b,,0.368,,
Kepler-1520 b,,0.515,,
Kepler-994 b,,0.143,,
Kepler-1308 b,,0.046,,
HD 4113 b,1.56,,44,218.9
Kepler-216 c,,0.27704,994.93,
Kepler-216 b,,0.21416,994.93,
83 Leonis B b,0.087,,17.79,
83 Leonis B c,0.36,,17.79,
Kepler-1527 b,,0.426,,
Kepler-1400 b,,0.145,,
HIP 5158 b,1.44,,45,168.8
HIP 5158 c,15.04,,45,
Kepler-154 b,,0.20595,882.88,
Kepler-154 c,,0.26883,882.88,
Kepler-154 d,,0.343,882.88,
Kepler-154 e,,0.134,882.88,
Kepler-154 f,,0.134,882.88,
Kepler-1406 b,,0.098,,
MOA-2010-BLG-353L b,0.23,,7170,
KOI-201.01,,0.82,,
Kepler-379 c,,0.20869,758.7,
Kepler-379 b,,0.15128,758.7,
Kepler-858 b,,0.434,,
HD 173416 b,2.7,,135,702.5
HAT-P-6 b,1.057,1.33,200,1529.9
Kepler-226 c,,0.20687,1017.85,
Kepler-226 b,,0.14125,1017.85,
Kepler-226 d,,0.11118,1017.85,
Kepler-1618 b,,0.112,,
Kepler-1132 b,,0.21,,
Kepler-400 b,,0.15036,716.62,
Kepler-400 c,,0.13578,716.62,
Kepler-113 c,,0.198664,255.9,
Kepler-113 b,0.036805,0.165857,255.9,
Kepler-454 b,0.02152,0.2114,200,
Kepler-454 c,4.46,,200,
Kepler-454 d,,,200,
KOI-285 b,,0.326,367.56,934
KOI-285 c,,0.219,367.56,748
KOI-285 d,,0.1844,367.56,608
HD 13189 b,14,,185,442.7
HAT-P-27 b,0.62,1.02,204,1102.7
Kepler-405 c,,0.42467,1513.02,
Kepler-405 b,,0.18955,1513.02,
Kepler-1068 b,,0.324,,
Kepler-29 b,0.014184,0.328069,1246,
Kepler-29 c,0.012579,0.26427,1246,
KOI-372 b,3.25,0.882,,
KOI-372 c,0.3194,,,
WASP-100 b,2.03,1.69,,2190
Kepler-21 b,,0.1456,112.9,
HAT-P-52 b,0.818,1.009,385,1218
Kepler-1573 b,,0.107,,
FU Tau B,15,,140,2375
Kepler-1009 b,,0.194,,
Kepler-403 b,,0.11391,605.63,
Kepler-403 c,,0.15948,605.63,
Kepler-403 d,,0.127,605.63,
Kepler-986 b,,0.211,,
Kepler-1435 b,,0.077,,
Kepler-1283 b,,0.17,,
Kepler-1211 b,,0.227,,
Kepler-1113 b,,0.251,,
Kepler-389 b,,0.13761,1101.76,
Kepler-389 c,,0.13305,1101.76,
Kepler-1644 b,,0.168,,
ROXs 42 B b,10,,120,
Kepler-802 b,,0.316,,
HD 73534 b,1.15,,96.99,200.2
Kepler-1246 b,,0.121,,
HD 178911 B b,6.292,,46.73,469.8
Kepler-476 b,,0.275,,
Kepler-1354 b,,0.265,,
HD 65216 b,1.21,,34.3,193.9
HD 65216 c,2.24,,34.3,
HAT-P-42 b,0.975,1.277,447,1427
Kepler-1590 b,,0.102,,
Kepler-1268 b,,0.181,,
DP Leo b,6.05,,400,
HD 216435 b,1.26,,33.3,224.7
Kepler-667 b,,0.422,,
Kepler-1419 b,,0.255,,
CoRoT-16 b,0.53,1.17,840,1085.5
Kepler-252 c,,0.19593,337.11,
Kepler-252 b,,0.11209,337.11,
Kepler-1152 b,,0.078,,
Kepler-851 b,,0.15,,
HD 11964 A b,0.622,,33.98,
HD 11964 A c,0.079,,33.98,
Kepler-908 b,,0.109,,
Kepler-608 b,,0.325,,
Kepler-768 b,,0.16,,
Kepler-950 b,,0.801,,
Kepler-1611 b,,0.072,,
Kepler-909 b,,0.131,,
WASP-50 b,1.47,1.15,230,1289.9
WASP-102 b,0.624,1.259,,
Kepler-1207 b,,0.145,,
Kepler-331 b,,0.16586,466.86,
Kepler-331 c,,0.16768,466.86,
Kepler-331 d,,0.14945,466.86,
Kepler-556 b,,0.2,,
Kepler-508 b,,0.146,,
HD 209458 b,0.714,1.38,47,1316.1
KOI-135 b,3.23,1.22,1950,
Kepler-515 b,,0.13,,
WASP-72 b,1.41,1.01,340,2210
Kepler-1077 b,,0.247,,
Kepler-840 b,,1.523,,
Kepler-1529 b,,0.187,,
Gamma Leonis b,8.78,,38.5,
Kepler-742 b,,0.289,,
HD 27894 b,0.62,,42.37,548.8
Kepler-381 c,,0.10207,243.23,
Kepler-381 b,,0.09022,243.23,
HD 129445 b,1.6,,67.61,151.1
Kepler-208 b,,0.14854,925.47,
Kepler-208 c,,0.12667,925.47,
Kepler-208 e,,0.13487,925.47,
Kepler-208 d,,0.10936,925.47,
Kepler-1101 b,,0.22,,
EPIC 201393098 b,,0.246,433,651
Kepler-513 b,,0.196,,
Kepler-1242 b,,0.202,,
Kepler-957 b,,0.491,,
HD 33283 b,0.33,,86,695.7
Kepler-1244 b,,0.12,,
Kepler-114 c,,0.1367,267.07,
Kepler-114 b,,0.11482,267.07,
Kepler-114 d,,0.22054,267.07,
Kepler-598 b,,0.134,,
Kepler-808 b,,0.13,,
Kepler-85 b,,0.16768,804.74,
Kepler-85 c,,0.20778,804.74,
Kepler-85 d,,0.10936,804.74,
Kepler-85 e,,0.11574,804.74,
Kepler-1320 b,,0.152,,
Kepler-856 b,,0.83,,
WASP-91 b,1.34,1.03,,
Kepler-713 b,,0.221,,
Kepler-256 c,,0.19593,1394.65,
Kepler-256 d,,0.226,1394.65,
Kepler-256 b,,0.1449,1394.65,
Kepler-256 e,,0.21416,1394.65,
HD 30669 b,0.47,,57.1,
Gliese 221 b,0.13,,20,
Gliese 221 c,0.0196,,20,
HD 181720 b,0.37,,56,225
Kepler-613 b,,0.204,,
Kepler-1486 b,,0.207,,
HD 16417 b,0.069,,25.5,875.5
Kepler-267 b,,0.18044,415.67,
Kepler-267 c,,0.19411,415.67,
Kepler-267 d,,0.20687,415.67,
Kepler-1442 b,,0.351,,
HD 69830 b,0.033,,12.6,801.2
HD 69830 c,0.038,,12.6,520.3
HD 69830 d,0.058,,12.6,282.9
WASP-12 b,1.404,1.736,250,2319.7
HD 23596 b,8.1,,52,220
Kepler-954 b,,0.207,,
Kepler-634 b,,0.169,,
OGLE-TR-132 b,1.17,1.227,1500,1812
Kepler-669 b,,0.431,,
Gliese 433 b,0.0167,,9.04,416.2
Gliese 433 c,0.1416,,9.04,
Kepler-690 b,,0.531,,
Kepler-380 b,,0.10845,811.74,
Kepler-380 c,,0.11574,811.74,
HD 67087 b,3.06,,88.8,
HD 67087 c,4.85,,88.8,
Kepler-1104 b,,0.11,,
Kepler-919 b,,0.201,,
WASP-84 b,0.7,0.975,125,832
Kepler-98 b,0.011167,0.181349,437.2,
Kepler-901 b,,0.122,,
HD 43691 b,2.49,,93.2,762.5
WASP-104 b,1.272,1.137,143,1516
HD 46375 A b,0.249,,33.4,1132
Kepler-171 b,,0.21324,854.42,
Kepler-171 c,,0.23329,854.42,
Kepler-171 d,,0.17224,854.42,
Kepler-1307 b,,0.22,,
HD 147018 b,2.12,,42.96,481.2
HD 147018 c,6.56,,42.96,171.9
EPIC 204129699 b,1.774,,,
CoRoT-20 b,4.24,0.84,1230,1002
Kepler-1519 b,,0.63,,
Kepler-346 b,,0.24241,1384.64,
Kepler-346 c,,0.27977,1384.64,
Kepler-323 c,,0.14854,499.35,
Kepler-323 b,,0.13032,499.35,
Kepler-590 b,,0.359,,
HD 136418 b,2,,98.2,357.4
Kepler-232 b,,0.28068,1323.08,
Kepler-232 c,,0.34903,1323.08,
Kepler-1039 b,,0.13,,
Kepler-1365 b,,0.082,,
Kepler-1365 c,,0.071,,
HD 98219 b,1.8,,134,419.8
Kepler-1095 b,,0.108,,
TrES-2,1.253,1.169,213,
Kepler-1128 b,,0.326,,
Kepler-398 b,,0.08475,187.15,
Kepler-398 c,,0.09204,187.15,
Kepler-398 d,,0.079,187.15,
HATS-23 b,1.47,1.86,747,
Kepler-1418 b,,0.148,,
Kepler-1148 b,,0.151,,
Kepler-1438 b,,0.084,,
HD 25171 b,0.95,,55,169.7
HD 109271 b,0.054,,62,1076
HD 109271 c,0.076,,62,684.9
WASP-2 A b,0.914,1.117,165.8,1170.7
WASP-109 b,0.91,1.443,330,1695
Kepler-572 b,,0.23,,
Kepler-1310 b,,0.128,,
MOA-2010-BLG-477L b,1.5,,2300,120.7
Kepler-1620 b,,0.144,,
Kepler-638 b,,0.163,,
Kepler-551 b,,0.244,,
EPIC 211913977 b,,0.18,,
K2-39 b,0.125,0.73,255,
HD 180314 b,22,,132,553.4
HD 217107 b,1.4135,,19.86,
HD 217107 c,4.513,,19.86,
Kepler-349 b,,0.17315,987.72,
Kepler-349 c,,0.17862,987.72,
FW Tau b,10,,145,
beta Pic b,11,1.65,19.3,1600
Kepler-637 b,,0.424,,
Kepler-1421 b,,0.083,,
HD 153950 b,2.73,,49.5,
Kepler-701 b,,0.253,,
Kepler-240 c,,0.20049,840.27,
Kepler-240 b,,0.12485,840.27,
HD 204941 b,0.266,,27,117.2
Kepler-1355 b,,0.13,,
Kepler-440 b,,0.166,261,
Kepler-574 b,,0.213,,
Kepler-1223 b,,0.109,,
11 Com b,19.4,,88.9,
HD 149026 b,0.356,0.718,78.9,1601.5
Kepler-499 b,,0.194,,
HD 96167 b,0.68,,84,293.2
Kepler-1370 b,,0.164,,
Kepler-37 b,,0.027,66,
HD 100546 b,17.5,6,97,1028
2M 2206-20 b,30,1.3,26.67,
